manufacturer
ferrari
desoto
western star
alfa-romeo
mg
oldsmobile
gmc
jaguar
morris
bentley
buick
pontiac
jeep
hudson
kaiser
peterbilt
lincoln
suzuki
plymouth
geo
mazda
mercedes-benz
volvo
freightliner
ram
ford
lamborghini
porsche
tesla
mclaren
hummer
fiat
kia
toyota
austin
studebaker
honda
maserati
morgan
packard
edsel
cadillac
rolls-royce
daewoo
eagle
land rover
international
daihatsu
acura
bmw
vpg
subaru
triumph
mitsubishi
volkswagen
nissan
kenworth
isuzu
crosley
infiniti
nash
sterling
audi
mack
rover
scion
am general
aston-martin
saab
chevrolet
chrysler
hino
datsun
harley-davidson
smart
lexus
dodge
willys
alfaromeo
lotus
polaris
mercury
mini
westernstar
saturn
hyundai
amc
genesis
